regime,output,method,n_runs,rmse_mean,rmse_ci_low,rmse_ci_high,mae_mean,mae_ci_low,mae_ci_high,r2_mean,r2_ci_low,r2_ci_high
noise_free,Output1,cubic,119,0.04751190624727713,0.03803012905267716,0.05695877263873056,0.04195548175730777,0.03385446913974227,0.05095987963808046,0.9891966745057145,0.984526331457506,0.9933200877491323
noise_free,Output1,rbf,440,0.06078574636990257,0.054714163899887466,0.06708973553861727,0.05202970832530266,0.047118459763195404,0.05713437188969892,0.9859908431925338,0.9807509953554756,0.990130911911835
noise_free,Output2,cubic,109,0.1649176620181219,0.13303910034589553,0.19572057210873559,0.12359759195163203,0.09639469745529138,0.15238192853905824,0.8616627104223962,0.7301228083684682,0.9635846252588209
noise_free,Output2,rbf,440,0.1307338619879515,0.1195147250373902,0.14281283584357615,0.10840937844861567,0.09908676225957587,0.11766397643948197,0.8895165272862547,0.7441407727420042,0.9728844473109782
noise_free,Output3,cubic,109,0.006919501461944765,0.006188467964978437,0.007644525396496736,0.006174571401663186,0.005440857443924904,0.006907649785049135,0.9997107157196088,0.9995005465875232,0.9998410661026612
noise_free,Output3,rbf,440,0.059485247960941214,0.05280012721686855,0.06657003328529008,0.04690588630330739,0.04158723246068738,0.05413240465891975,0.9832167480399926,0.9752742528963072,0.9894596797478936
noisy,Output1,cubic,113,0.0966280186749503,0.08828605261283792,0.10569231827347714,0.0854545272294712,0.07802041476837948,0.0937958317335802,0.9639472713726973,0.9504775331427612,0.9756114195455727
noisy,Output1,rbf,440,0.19445012755676758,0.1822884692372675,0.20746298924986764,0.1660920637408232,0.15525933522153545,0.17746027462841796,0.848019276608969,0.7984509606723358,0.8880662198512885
noisy,Output2,cubic,125,0.9613631710591743,0.8770943455670714,1.05098318838663,0.8311721374242407,0.7464849645986983,0.9140483340393352,-0.5133325073364186,-1.5475375223738443,0.19391843536618641
noisy,Output2,rbf,440,2.160955451107261,2.02879356412891,2.304150029505287,1.8483545557919243,1.7153571856413148,1.9663260990591278,-10.84775480982748,-17.398123987639053,-5.672991148508077
noisy,Output3,cubic,126,1.560030518445294,1.431755734101157,1.6878388083290758,1.3374604205349665,1.2260352546565283,1.4479536405199775,-6.894947259459386,-8.751879548329716,-5.216207197314732
noisy,Output3,rbf,440,3.7245525290958694,3.5217367039109853,3.924912725690849,3.129401921239718,2.962133604360943,3.3128088012890586,-52.25861596772677,-71.88784627964998,-36.59916274605957
