Regime,Output,Method,Runs,RMSE,R2
noise_free,Output1,cubic,119,0.04751190624727713,0.9891966745057145
noise_free,Output1,rbf,440,0.06078574636990265,0.9859908431925336
noise_free,Output2,cubic,109,0.1649176620181219,0.8616627104223962
noise_free,Output2,rbf,440,0.13073386198795123,0.8895165272862515
noise_free,Output3,cubic,109,0.006919501461944765,0.9997107157196088
noise_free,Output3,rbf,440,0.059485247960940964,0.9832167480399928
noisy,Output1,cubic,113,0.0966280186749503,0.9639472713726973
noisy,Output1,rbf,440,0.19445012755676255,0.8480192766090046
noisy,Output2,cubic,125,0.9613631710591743,-0.5133325073364186
noisy,Output2,rbf,440,2.1609554511072298,-10.847754809825311
noisy,Output3,cubic,126,1.560030518445294,-6.894947259459386
noisy,Output3,rbf,440,3.7245525290958996,-52.258615967729
